intake_date,animal_id,intake_type,intake_subtype,outcome_date,outcome_type,primary_breed,secondary_breed,years_old,months_old,OutcomeGroup,Breed,PitBullType,PitBullExpanded,AKC,AKC_Extended,KennelCardBreed,LOS,AgeGroup
7/23/13,A270969,OWNER SURR,FIELD,7/26/13,RESCUE,FOX TERR WIRE,MIX,0,2,Adopt/Live Exit,Wire Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,3,Puppy (0-4mo)
7/23/13,A270971,OWNER SURR,FIELD,7/26/13,RESCUE,FOX TERR WIRE,MIX,0,2,Adopt/Live Exit,Wire Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,3,Puppy (0-4mo)
7/23/13,A270972,OWNER SURR,FIELD,7/26/13,RESCUE,FOX TERR WIRE,MIX,0,2,Adopt/Live Exit,Wire Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,3,Puppy (0-4mo)
8/19/13,A273122,STRAY,OTC,8/21/13,RTO,FOX TERR WIRE, ,13,0,Adopt/Live Exit,Wire Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,2,Senior (8+yr)
2/12/13,A257022,CONFISCATE,BITE,2/13/13,DISPOSAL,FOX TERR WIRE, ,6,0,Euthanized/Dead,Wire Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,1,Adult (1-7yr)
6/26/13,A192932,STRAY,OTC,6/26/13,RTO,FOX TERR WIRE, ,15,0,Adopt/Live Exit,Wire Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Senior (8+yr)
11/24/13,A280369,OWNER SURR,FIELD,11/24/13,DISPOSAL,FOX TERR WIRE,MIX,1,0,Euthanized/Dead,Wire Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Adolescent (5-12mo)
12/18/13,A281806,STRAY,FIELD,12/18/13,RTO,FOX TERR WIRE,JACK RUSS TER,10,0,Adopt/Live Exit,Wire Fox Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Senior (8+yr)
4/13/13,A261638,DISPO REQ,OTC,7/19/13,DISPOSAL,JACK RUSS TERR,MIX,0,4,Euthanized/Dead,Russell Terrier (Jack Russell),Not PB,Not PB,Terrier,Other Terriers,With Breed,97,Puppy (0-4mo)
3/13/13,A259190,STRAY,FIELD,4/13/13,HOME EXP,JACK RUSS TERR,PATTERDALE TE,1,0,Lost/Found/Missing,Russell Terrier (Jack Russell),Not PB,Not PB,Terrier,Other Terriers,With Breed,31,Adolescent (5-12mo)
3/19/13,A259607,STRAY,FIELD,4/19/13,LOST EXP,JACK RUSS TERR,MIX,0,0,Lost/Found/Missing,Russell Terrier (Jack Russell),Not PB,Not PB,Terrier,Other Terriers,With Breed,31,Puppy (0-4mo)
5/11/13,A264182,STRAY,FIELD,6/11/13,LOST EXP,JACK RUSS TERR, ,0,0,Lost/Found/Missing,Russell Terrier (Jack Russell),Not PB,Not PB,Terrier,Other Terriers,With Breed,31,Puppy (0-4mo)
6/23/13,A268214,CONFISCATE,BITE,7/24/13,RTO,JACK RUSS TERR, ,3,6,Adopt/Live Exit,Russell Terrier (Jack Russell),Not PB,Not PB,Terrier,Other Terriers,With Breed,31,Adult (1-7yr)
