intake_type,intake_subtype,secondary_breed,Breed,AKC_Extended,KennelCardBreed,LOS,AgeGroup,age
STRAY,FIELD,MIX,American Staffordshire Terrier,Pit Bull Types,Without Breed,30,Puppy (0-4mo),0.0
EUTH REQ,OTC OWNED,SHETLD SHEEPD,Keeshond,Non-sporting,With Breed,0,Senior (8+yr),2.3513346877207573
OWNER SURR,OTC,unknown,Shih Tzu,Toy,Without Breed,8,Adult (1-7yr),1.5874010519681994
STRAY,FIELD,unknown,American Staffordshire Terrier,Pit Bull Types,Without Breed,30,Puppy (0-4mo),0.0
STRAY,OTC,POODLE MIN,Maltese,Toy,With Breed,1,Adult (1-7yr),1.4422495703074083
CONFISCATE,CRUELTY,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,3,Adult (1-7yr),1.259921049894873
EUTH REQ,OTC OWNED,unknown,American Staffordshire Terrier,Pit Bull Types,Without Breed,0,Senior (8+yr),2.154434690031884
STRAY,FIELD,MIX,Mastiff,Working,With Breed,21,Adolescent (5-12mo),1.0
EUTH REQ,OTC OWNED,GERM SHEPHERD,Great Pyrenees,Working,Without Breed,0,Adult (1-7yr),1.8171205928321394
STRAY,FIELD,MIX,Labrador Retreiver,Sporting,With Breed,16,Adult (1-7yr),1.0322801154563672
OWNER SURR,OTC,unknown,German Shepherd Dog,Herding,With Breed,6,Adult (1-7yr),1.5182944859378313
OWNER SURR,FIELD,unknown,Dachshund,Hound,With Breed,17,Senior (8+yr),2.154434690031884
STRAY,FIELD,unknown,American Staffordshire Terrier,Pit Bull Types,Without Breed,9,Adolescent (5-12mo),0.7937005259840997
STRAY,OTC,MIX,American Staffordshire Terrier,Pit Bull Types,With Breed,14,Adolescent (5-12mo),1.0
OWNER SURR,FIELD,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,11,Puppy (0-4mo),0.6694329500821695
STRAY,FIELD,unknown,Rat Terrier,Other Terriers,With Breed,30,Puppy (0-4mo),0.0
RETURN,OTC,ROTTWEILER,Labrador Retreiver,Sporting,With Breed,1,Puppy (0-4mo),0.5848035476425733
STRAY,FIELD,MIX,American Staffordshire Terrier,Pit Bull Types,Without Breed,13,Adolescent (5-12mo),0.928317766722556
STRAY,OTC,MIX,Siberian Husky,Working,Without Breed,7,Adolescent (5-12mo),1.0
STRAY,FIELD,unknown,Rottweiler,Working,With Breed,13,Adult (1-7yr),1.1447142425533319
RETURN,OTC,MIX,American Staffordshire Terrier,Pit Bull Types,Without Breed,2,Adolescent (5-12mo),0.8434326653017492
CONFISCATE,BITE,unknown,Labrador Retreiver,Sporting,Without Breed,9,Adult (1-7yr),1.5874010519681994
OWNER SURR,OTC,unknown,Chinese Shar-Pei,Non-sporting,Without Breed,4,Adult (1-7yr),1.5874010519681994
STRAY,OTC,unknown,Yorkshire Terrier,Toy,With Breed,9,Adolescent (5-12mo),0.7368062997280774
